approach,orig_filename,test_name,test_content,evaluator1,evaluator2,consensus
qmosa,107_weka/evosuite-tests/weka/core/Optimization_ESTest.java,9,test-0.java,no,no,no
qmosa,69_lhamacaw/evosuite-tests/macaw/businessLayer/SupportingDocument_ESTest.java,4,test-1.java,yes,no,no
qmosa,69_lhamacaw/evosuite-tests/macaw/businessLayer/SupportingDocument_ESTest.java,14,test-2.java,yes,no,no
qmosa,93_quickserver/evosuite-tests/org/quickserver/net/server/TheClient_ESTest.java,33,test-3.java,no,no,no
qmosa,57_hft-bomberman/evosuite-tests/client/network/ClientMsgReceiver_ESTest.java,0,test-4.java,no,no,no
qmosa,80_wheelwebtool/evosuite-tests/wheel/asm/FieldWriter_ESTest.java,8,test-5.java,no,no,no
qmosa,93_quickserver/evosuite-tests/org/quickserver/util/xmlreader/AdvancedSettings_ESTest.java,56,test-6.java,no,no,no
qmosa,75_openhre/evosuite-tests/com/browsersoft/openhre/hl7/impl/regular/ExpressionMatrixImpl_ESTest.java,22,test-7.java,no,no,no
qmosa,27_gangup/evosuite-tests/state/Player_ESTest.java,56,test-8.java,no,no,no
qmosa,93_quickserver/evosuite-tests/org/quickserver/net/server/TheClient_ESTest.java,23,test-9.java,no,no,no
qmosa,4_rif/evosuite-tests/com/densebrain/rif/client/RIFClassLoader_ESTest.java,1,test-10.java,no,no,no
qmosa,2_a4j/evosuite-tests/net/kencochrane/a4j/DAO/Product_ESTest.java,5,test-11.java,no,no,no
qmosa,107_weka/evosuite-tests/weka/core/Optimization_ESTest.java,1,test-12.java,no,no,no
qmosa,102_squirrel-sql/evosuite-tests/net/sourceforge/squirrel_sql/client/session/Session_ESTest.java,0,test-13.java,no,no,no
qmosa,52_lagoon/evosuite-tests/nu/staldal/lagoon/LagoonCLI_ESTest.java,2,test-14.java,no,no,no
qmosa,2_a4j/evosuite-tests/net/kencochrane/a4j/DAO/Product_ESTest.java,3,test-15.java,no,no,no
qmosa,107_weka/evosuite-tests/weka/core/Optimization_ESTest.java,11,test-16.java,no,no,no
qmosa,93_quickserver/evosuite-tests/org/quickserver/util/xmlreader/AdvancedSettings_ESTest.java,37,test-17.java,yes,no,no
qmosa,52_lagoon/evosuite-tests/nu/staldal/lagoon/LagoonCLI_ESTest.java,7,test-18.java,no,no,no
qmosa,92_jcvi-javacommon/evosuite-tests/org/jcvi/jillion/core/util/FileIterator_ESTest.java,11,test-19.java,no,no,no
qmosa,93_quickserver/evosuite-tests/org/quickserver/net/server/TheClient_ESTest.java,48,test-20.java,no,no,no
qmosa,107_weka/evosuite-tests/weka/core/Optimization_ESTest.java,3,test-21.java,no,no,no
qmosa,92_jcvi-javacommon/evosuite-tests/org/jcvi/jillion/core/util/FileIterator_ESTest.java,1,test-22.java,no,no,no
qmosa,27_gangup/evosuite-tests/state/Player_ESTest.java,17,test-23.java,no,no,no
qmosa,93_quickserver/evosuite-tests/org/quickserver/net/server/TheClient_ESTest.java,30,test-24.java,no,no,no
qmosa,52_lagoon/evosuite-tests/nu/staldal/lagoon/LagoonCLI_ESTest.java,5,test-25.java,no,no,no
qmosa,80_wheelwebtool/evosuite-tests/wheel/asm/FieldWriter_ESTest.java,13,test-26.java,no,no,no
qmosa,80_wheelwebtool/evosuite-tests/wheel/asm/FieldWriter_ESTest.java,19,test-27.java,no,no,no
qmosa,18_jsecurity/evosuite-tests/org/jsecurity/authc/UsernamePasswordToken_ESTest.java,28,test-28.java,no,no,no
qmosa,69_lhamacaw/evosuite-tests/macaw/businessLayer/SupportingDocument_ESTest.java,38,test-29.java,no,no,no
qmosa,4_rif/evosuite-tests/com/densebrain/rif/client/RIFClassLoader_ESTest.java,4,test-30.java,no,no,no
qmosa,80_wheelwebtool/evosuite-tests/wheel/asm/FieldWriter_ESTest.java,4,test-31.java,no,no,no
qmosa,93_quickserver/evosuite-tests/org/quickserver/util/xmlreader/AdvancedSettings_ESTest.java,65,test-32.java,no,no,no
qmosa,80_wheelwebtool/evosuite-tests/wheel/asm/FieldWriter_ESTest.java,18,test-33.java,yes,yes,yes
qmosa,27_gangup/evosuite-tests/state/Player_ESTest.java,52,test-34.java,no,no,no
qmosa,69_lhamacaw/evosuite-tests/macaw/businessLayer/SupportingDocument_ESTest.java,8,test-35.java,no,no,no
qmosa,18_jsecurity/evosuite-tests/org/jsecurity/authc/UsernamePasswordToken_ESTest.java,5,test-36.java,no,no,no
qmosa,69_lhamacaw/evosuite-tests/macaw/businessLayer/SupportingDocument_ESTest.java,0,test-37.java,no,no,no
qmosa,107_weka/evosuite-tests/weka/core/Optimization_ESTest.java,7,test-38.java,no,no,no
qmosa,99_newzgrabber/evosuite-tests/Newzgrabber/Base64Decoder_ESTest.java,7,test-39.java,no,no,no
qmosa,80_wheelwebtool/evosuite-tests/wheel/asm/FieldWriter_ESTest.java,17,test-40.java,no,no,no
qmosa,103_sweethome3d/evosuite-tests/com/eteks/sweethome3d/model/HomeEnvironment_ESTest.java,87,test-41.java,no,no,no
qmosa,80_wheelwebtool/evosuite-tests/wheel/asm/FieldWriter_ESTest.java,2,test-42.java,no,no,no
qmosa,93_quickserver/evosuite-tests/org/quickserver/net/server/TheClient_ESTest.java,5,test-43.java,no,no,no
qmosa,93_quickserver/evosuite-tests/org/quickserver/net/server/TheClient_ESTest.java,60,test-44.java,yes,no,no
qmosa,27_gangup/evosuite-tests/state/Player_ESTest.java,21,test-45.java,no,no,no
qmosa,93_quickserver/evosuite-tests/org/quickserver/util/xmlreader/AdvancedSettings_ESTest.java,42,test-46.java,no,no,no
qmosa,2_a4j/evosuite-tests/net/kencochrane/a4j/DAO/Product_ESTest.java,4,test-47.java,no,no,no
qmosa,27_gangup/evosuite-tests/state/Player_ESTest.java,58,test-48.java,yes,yes,yes
qmosa,2_a4j/evosuite-tests/net/kencochrane/a4j/DAO/Product_ESTest.java,1,test-49.java,no,no,no
qmosa,93_quickserver/evosuite-tests/org/quickserver/util/xmlreader/AdvancedSettings_ESTest.java,7,test-50.java,no,no,no
qmosa,103_sweethome3d/evosuite-tests/com/eteks/sweethome3d/model/HomeEnvironment_ESTest.java,51,test-51.java,no,no,no
qmosa,69_lhamacaw/evosuite-tests/macaw/businessLayer/SupportingDocument_ESTest.java,33,test-52.java,no,no,no
qmosa,92_jcvi-javacommon/evosuite-tests/org/jcvi/jillion/core/util/FileIterator_ESTest.java,0,test-53.java,yes,yes,yes
qmosa,103_sweethome3d/evosuite-tests/com/eteks/sweethome3d/model/HomeEnvironment_ESTest.java,46,test-54.java,no,no,no
qmosa,9_falselight/evosuite-tests/Services_ESTest.java,8,test-55.java,no,no,no
qmosa,9_falselight/evosuite-tests/Services_ESTest.java,9,test-56.java,no,no,no
qmosa,27_gangup/evosuite-tests/state/Player_ESTest.java,18,test-57.java,no,no,no
qmosa,80_wheelwebtool/evosuite-tests/wheel/asm/FieldWriter_ESTest.java,3,test-58.java,no,no,no
qmosa,69_lhamacaw/evosuite-tests/macaw/businessLayer/SupportingDocument_ESTest.java,41,test-59.java,no,no,no
qmosa,103_sweethome3d/evosuite-tests/com/eteks/sweethome3d/model/HomeEnvironment_ESTest.java,40,test-60.java,no,no,no
qmosa,75_openhre/evosuite-tests/com/browsersoft/openhre/hl7/impl/regular/ExpressionMatrixImpl_ESTest.java,11,test-61.java,yes,yes,yes
qmosa,75_openhre/evosuite-tests/com/browsersoft/openhre/hl7/impl/regular/ExpressionMatrixImpl_ESTest.java,18,test-62.java,yes,yes,yes
qmosa,92_jcvi-javacommon/evosuite-tests/org/jcvi/jillion/core/util/FileIterator_ESTest.java,13,test-63.java,no,no,no
qmosa,93_quickserver/evosuite-tests/org/quickserver/net/server/TheClient_ESTest.java,1,test-64.java,yes,no,no
qmosa,93_quickserver/evosuite-tests/org/quickserver/net/server/TheClient_ESTest.java,11,test-65.java,yes,no,no
qmosa,103_sweethome3d/evosuite-tests/com/eteks/sweethome3d/model/HomeEnvironment_ESTest.java,84,test-66.java,no,no,no
qmosa,4_rif/evosuite-tests/com/densebrain/rif/client/RIFClassLoader_ESTest.java,3,test-67.java,no,no,no
qmosa,99_newzgrabber/evosuite-tests/Newzgrabber/Base64Decoder_ESTest.java,3,test-68.java,no,no,no
qmosa,69_lhamacaw/evosuite-tests/macaw/businessLayer/SupportingDocument_ESTest.java,2,test-69.java,no,no,no
