TARGET_CLASS,criterion,configuration_id,Total_Goals,Total_Branches,Lines,Covered_Goals,Generations,Statements_Executed,Fitness_Evaluations,Tests_Executed,Total_Time,Size,Result_Size,Length,Result_Length,Random_Seed,BranchCoverage,CoverageEntropy
com.liferay.taglib.util.ThemeUtil,BRANCH,MOSA,96,90,12,18,997,493088,52341,52342,198193,7,7,96,96,1000,0.1875,1.2453691816454469
com.liferay.util.bridges.mvc.MVCPortlet,BRANCH,MOSA,80,68,24,20,1171,245411,61389,61390,204418,17,17,68,68,1000,0.25,1.16197439139854
com.sap.managementconsole.soap.axis.sapcontrol.J2EEClusterMsg,BRANCH,MOSA,77,50,29,72,1381,1067271,70745,70746,185095,23,23,79,79,1000,0.935064935064935,1.4629748211089495
com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,BRANCH,MOSA,1707,1696,42,1041,87,57131,4532,4533,230976,128,128,1156,1156,1000,0.6098418277680141,1.1813977769419222
corina.Sample,BRANCH,MOSA,110,94,39,88,1507,394626,78929,78930,188954,39,39,189,189,1000,0.8,1.1474574428801314
corina.gui.ElementsPanel,BRANCH,MOSA,120,94,29,20,678,63159,35412,35413,190831,4,4,8,8,1000,0.16666666666666666,1.6271586924669539
de.huxhorn.lilith.swing.EventWrapperViewPanel,BRANCH,MOSA,367,318,113,31,73,14983,2421,2422,197272,11,11,75,75,1000,0.08446866485013624,0.7248302996361272
de.huxhorn.lilith.swing.MainFrame,BRANCH,MOSA,631,544,163,11,107,46661,5630,5631,207190,4,4,13,13,1000,0.017432646592709985,0.9678002527269728
de.outstare.fortbattleplayer.gui.battlefield.BattlefieldDrawing,BRANCH,MOSA,84,58,37,57,115,78854,5297,5298,245763,17,17,139,139,1000,0.6785714285714286,2.1862057123395964
dk.statsbiblioteket.summa.common.Logging,BRANCH,MOSA,139,130,22,132,496,333270,24617,24618,188030,48,48,224,224,1000,0.9496402877697842,0.8144497192437875
dk.statsbiblioteket.summa.common.lucene.distribution.TermStatSource,BRANCH,MOSA,58,54,12,15,212,74686,11166,11167,194617,5,5,28,28,1000,0.25862068965517243,0.6553192727453773
dk.statsbiblioteket.summa.ingest.split.SBMARCParser,BRANCH,MOSA,100,92,16,1,777,58822,40398,40399,183950,1,1,1,1,1000,0.01,0.0
dk.statsbiblioteket.summa.ingest.stream.ArchiveReader,BRANCH,MOSA,165,146,40,2,702,110757,36627,36628,185429,1,1,4,4,1000,0.01212121212121212,0.0
dk.statsbiblioteket.summa.search.document.DocumentSearcherImpl,BRANCH,MOSA,69,52,21,28,82,25218,4218,4219,196087,15,15,65,65,1000,0.4057971014492754,1.2192382345634292
framework.util.ConvertUtils,BRANCH,MOSA,208,172,46,208,48,26362,2579,2580,33712,80,80,393,393,1000,1.0,1.0709032619405026
freemind.main.Base64Coding,BRANCH,MOSA,51,50,3,51,1,1344,102,103,40408,7,7,87,87,1000,1.0,0.41745048341604496
freemind.modes.common.actions.FindAction,BRANCH,MOSA,110,98,20,2,250,21121,12109,12110,205274,2,2,2,2,1000,0.01818181818181818,0.0
freemind.view.mindmapview.attributeview.AttributeView,BRANCH,MOSA,71,58,27,4,423,37474,19919,19920,212004,1,1,1,1,1000,0.056338028169014086,1.3862943611198906
glengineer.blocks.HorizontalBlock,BRANCH,MOSA,72,64,20,57,1328,440942,69516,69517,230581,13,13,76,76,1000,0.7916666666666666,1.4868298984554889
httpanalyzer.HttpPreference,BRANCH,MOSA,59,58,3,3,337,65170,17710,17711,199768,2,2,4,4,1000,0.05084745762711865,0.6931471805599453
map.VisibilityMap,BRANCH,MOSA,83,82,7,1,1153,178764,58271,58272,182341,1,1,1,1,1000,0.012048192771084338,0.0
net.sourceforge.schemaspy.view.StyleSheet,BRANCH,MOSA,58,54,17,56,1524,182703,40292,40293,183959,22,22,64,64,1000,0.9655172413793104,1.041892625372418
net.sourceforge.squirrel_sql.client.gui.MemoryPanel,BRANCH,MOSA,66,52,18,1,688,117321,35490,35491,203000,1,1,2,2,1000,0.015151515151515154,0.0
net.sourceforge.squirrel_sql.client.gui.db.SQLAlias,BRANCH,MOSA,75,52,38,75,42,33654,2248,2249,29627,37,37,248,248,1000,1.0,1.5756324350374817
net.sourceforge.squirrel_sql.client.session.FileManager,BRANCH,MOSA,70,60,17,10,269,50110,13481,13482,203109,6,6,14,14,1000,0.14285714285714285,0.9241962407465936
net.sourceforge.squirrel_sql.fw.gui.GUIUtils,BRANCH,MOSA,112,104,21,66,55,16949,2833,2834,241377,23,23,122,122,1000,0.5892857142857143,0.4895054771226501
net.sourceforge.squirrel_sql.fw.gui.TablePopupMenu,BRANCH,MOSA,78,50,45,35,751,314279,39300,39301,194157,5,5,26,26,1000,0.4487179487179487,3.0331682906500665
net.sourceforge.squirrel_sql.fw.sql.ResultSetReader,BRANCH,MOSA,205,200,18,7,505,113009,21487,21488,205776,4,4,13,13,1000,0.03414634146341464,0.34657359027997264
net.virtualinfinity.atrobots.compiler.AtRobotLineLexer,BRANCH,MOSA,119,116,14,85,1194,293833,63097,63098,187843,23,23,61,61,1000,0.7142857142857143,1.0976539427406176
org.bouncycastle.asn1.DERObjectIdentifier,BRANCH,MOSA,76,72,12,75,1125,376757,58468,58469,197724,25,25,67,67,1000,0.986842105263158,0.6756431024059469
org.firebirdsql.jdbc.parser.JaybirdSqlLexer,BRANCH,MOSA,626,540,94,518,226,75278,11788,11789,236561,146,146,558,558,1000,0.8274760383386581,0.9519711399806992
org.gudy.azureus2.core3.disk.impl.DiskManagerUtil,BRANCH,MOSA,314,276,56,59,23,12801,1147,1148,234648,18,18,95,95,1000,0.18789808917197454,0.6408733926119622
org.gudy.azureus2.pluginsimpl.local.sharing.ShareManagerImpl,BRANCH,MOSA,158,128,49,82,140,40915,6836,6837,254854,35,35,153,153,1000,0.5189873417721519,1.6578048544967834
org.gudy.azureus2.pluginsimpl.local.update.UpdateInstallerImpl,BRANCH,MOSA,78,70,15,52,67,21771,3401,3402,219032,15,15,90,90,1000,0.6666666666666666,1.5649295033967776
org.gudy.azureus2.ui.console.commands.Set,BRANCH,MOSA,128,122,14,91,23,13446,1188,1189,203250,8,8,49,49,1000,0.7109375,0.7742919811438788
org.gudy.azureus2.ui.swt.views.tableitems.files.FileHashItemBase,BRANCH,MOSA,92,88,9,1,903,110201,42077,42078,198458,1,1,1,1,1000,0.010869565217391304,0.0
org.heal.servlet.userreview.UserReviewDAO,BRANCH,MOSA,69,64,11,9,1211,199543,63343,63344,188452,8,8,22,22,1000,0.13043478260869565,0.6931471805599453
org.jcvi.jillion.core.residue.nt.DefaultNucleotideCodec,BRANCH,MOSA,74,60,32,73,565,228809,29285,29286,193849,26,26,131,131,1000,0.9864864864864864,2.0043283069576527
org.jsecurity.mgt.DefaultSecurityManager,BRANCH,MOSA,79,54,38,60,6,4782,357,358,269582,24,24,288,288,1000,0.7594936708860759,1.9899467442203405
org.mozilla.javascript.Parser,BRANCH,MOSA,739,722,67,317,296,122986,15512,15513,215796,69,69,350,350,1000,0.428958051420839,2.557879529318342
org.objectweb.asm.jip.ClassReader,BRANCH,MOSA,817,804,28,446,24,10608,1298,1299,238173,28,28,131,131,1000,0.5458996328029376,1.6154548257612684
org.objectweb.asm.jip.Frame,BRANCH,MOSA,703,702,15,477,93,47076,4786,4787,234800,164,164,1257,1257,1000,0.6785206258890469,0.23984731272086476
org.pdfsam.guiclient.commons.panels.CloseableTabbedPane,BRANCH,MOSA,101,80,30,74,691,333246,33333,33334,200439,25,25,128,128,1000,0.7326732673267327,1.7457100320340715
org.pdfsam.guiclient.dto.PdfSelectionTableItem,BRANCH,MOSA,121,90,33,4,1122,254206,58206,58207,183251,3,3,7,7,1000,0.033057851239669415,0.4620981203732968
org.pdfsam.plugin.coverfooter.listeners.RunButtonActionListener,BRANCH,MOSA,125,124,2,2,618,126634,32214,32215,189837,1,1,2,2,1000,0.016,0.6931471805599453
umd.cs.shop.JSListLogicalAtoms,BRANCH,MOSA,58,54,10,51,1808,626087,94480,94481,184897,27,27,94,94,1000,0.8793103448275862,0.4577074005426073
visu.handball.moves.model.PassEvent,BRANCH,MOSA,62,58,7,61,1837,1096945,94938,94939,184610,26,26,147,147,1000,0.9838709677419356,0.6766597064027925
weka.attributeSelection.BestFirst,BRANCH,MOSA,170,150,33,160,683,353786,35283,35284,236496,43,43,208,208,1000,0.9411764705882352,1.4378386271276264
weka.attributeSelection.GreedyStepwise,BRANCH,MOSA,162,140,32,156,848,570437,43264,43265,235158,37,37,266,266,1000,0.9629629629629628,1.4675611591096105
weka.classifiers.bayes.net.search.local.LocalScoreSearchAlgorithm,BRANCH,MOSA,155,144,22,121,1074,459365,55020,55021,234329,38,38,193,193,1000,0.7806451612903226,0.9441091748205188
weka.classifiers.rules.DecisionTableHashKey,BRANCH,MOSA,54,52,7,46,799,442703,40813,40814,193281,14,14,65,65,1000,0.8518518518518519,0.5533129036635731
weka.classifiers.trees.DecisionStump,BRANCH,MOSA,133,128,20,23,659,176290,34570,34571,197251,16,16,64,64,1000,0.17293233082706766,0.7193030623345027
weka.clusterers.Cobweb,BRANCH,MOSA,203,178,47,153,714,356760,37174,37175,205886,30,30,210,210,1000,0.7536945812807881,1.6239916667272192
weka.clusterers.MakeDensityBasedClusterer,BRANCH,MOSA,103,88,23,95,491,258275,25662,25663,201349,18,18,58,58,1000,0.9223300970873788,1.1480103669861508
weka.core.AlgVector,BRANCH,MOSA,70,62,23,70,18,15430,945,946,28455,24,24,301,301,1000,1.0,1.544800904316069
weka.core.Attribute,BRANCH,MOSA,335,304,66,262,330,118180,17057,17058,213224,73,73,295,295,1000,0.7820895522388059,1.3513006527276428
weka.core.Javadoc,BRANCH,MOSA,70,58,26,68,664,491179,35021,35022,210532,15,15,52,52,1000,0.9714285714285714,1.741161013846558
weka.core.neighboursearch.BallTree,BRANCH,MOSA,97,84,25,82,1395,713975,70360,70361,191342,37,37,160,160,1000,0.8453608247422679,0.9526781962806494
weka.estimators.CheckEstimator,BRANCH,MOSA,382,352,65,305,705,212491,36792,36793,219660,78,78,292,292,1000,0.7984293193717278,1.809378662710784
weka.experiment.PairedTTester,BRANCH,MOSA,264,226,63,197,952,504861,48239,48240,229186,51,51,314,314,1000,0.7462121212121212,2.0137783548316235
weka.experiment.RemoteExperiment,BRANCH,MOSA,136,108,37,91,789,314816,41046,41047,205047,19,19,123,123,1000,0.6691176470588235,2.5988721108217203
weka.gui.PropertySheetPanel,BRANCH,MOSA,157,140,24,94,307,68024,15951,15952,197854,17,17,68,68,1000,0.5987261146496815,0.6967056793704429
weka.gui.beans.BeanInstance,BRANCH,MOSA,162,152,23,107,90,52175,4693,4694,211448,40,40,233,233,1000,0.6604938271604939,0.4800675729140509
weka.gui.beans.ClustererPerformanceEvaluator,BRANCH,MOSA,70,62,16,26,229,133069,11783,11784,219672,14,14,60,60,1000,0.37142857142857133,0.8832786369217225
weka.gui.beans.FlowRunner,BRANCH,MOSA,127,112,24,56,198,73419,10372,10373,257568,23,23,107,107,1000,0.4409448818897638,1.1400141911992514
weka.gui.beans.Saver,BRANCH,MOSA,134,118,29,69,145,57604,7599,7600,257154,23,23,145,145,1000,0.5149253731343284,1.599074290138124
